epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,122938,1.2418,0.59692,0.00225,0.90686,0.7817,0.81757,0.62445,1.02125,0.42031,0.00198,0.006205,0.006205,0.006205
117,125323,1.26907,0.59523,0.00209,0.90994,0.78175,0.81947,0.62569,1.02055,0.42051,0.00199,0.006172,0.006172,0.006172
118,127702,1.26456,0.61371,0.00217,0.91198,0.78004,0.82138,0.62803,1.02034,0.41981,0.00198,0.006139,0.006139,0.006139
119,130137,1.25174,0.60343,0.00212,0.91447,0.7824,0.82307,0.62876,1.02028,0.41942,0.00198,0.006106,0.006106,0.006106
120,132488,1.25173,0.61172,0.00217,0.91353,0.78133,0.82217,0.62866,1.02018,0.41944,0.00197,0.006073,0.006073,0.006073
121,134927,1.25741,0.60473,0.00216,0.90855,0.78517,0.82124,0.62812,1.0198,0.41939,0.00197,0.00604,0.00604,0.00604
122,137268,1.24125,0.59693,0.00216,0.90974,0.78283,0.82211,0.62917,1.02006,0.41903,0.00197,0.006007,0.006007,0.006007
123,139694,1.24513,0.61026,0.00212,0.91123,0.78354,0.82236,0.62923,1.01947,0.41885,0.00196,0.005974,0.005974,0.005974
124,142012,1.26386,0.6182,0.00216,0.91672,0.78065,0.82125,0.62937,1.01886,0.41898,0.00196,0.005941,0.005941,0.005941
125,144409,1.25375,0.60331,0.00217,0.90988,0.7824,0.81988,0.62812,1.01848,0.41855,0.00196,0.005908,0.005908,0.005908
126,146792,1.23816,0.60476,0.00214,0.91287,0.78319,0.82071,0.62915,1.01771,0.41854,0.00196,0.005875,0.005875,0.005875
127,149215,1.24772,0.59623,0.0022,0.91041,0.78287,0.81939,0.62821,1.01773,0.41836,0.00196,0.005842,0.005842,0.005842
128,151498,1.24315,0.59462,0.00206,0.91215,0.78224,0.81961,0.62839,1.01767,0.41773,0.00196,0.005809,0.005809,0.005809
129,153816,1.253,0.6001,0.00222,0.91236,0.77963,0.82024,0.62925,1.01678,0.41834,0.00195,0.005776,0.005776,0.005776
